Time,M1 Pos,M2 Pos,M3 Pos,Act Length
5.3853137493133545,0.03749847412109375,0.0587940514087677,-0.033641647547483444,-0.03332775920256972
5.430917978286743,0.03749847412109375,0.0587940514087677,-0.033641647547483444,-0.03332775920256972
5.480566740036011,0.03749847412109375,0.0587940514087677,-0.033641647547483444,-0.03332775920256972
5.5302958488464355,0.03566336631774902,0.0587940514087677,-0.033641647547483444,-0.0330396472774446
5.585066795349121,-0.0335155725479126,0.0587940514087677,0.023679587990045547,-0.010886270474642513
5.634669065475464,-0.1284008026123047,0.016653481870889664,0.0886744037270546,0.03173245096206665
5.684190034866333,-0.21353739500045776,-0.01252800039947033,0.1862683892250061,0.07465515583381058
5.73369026184082,-0.3100101947784424,-0.07367994636297226,0.27590519189834595,0.12910762439668177
5.783449411392212,-0.4369964599609375,-0.11430488526821136,0.3820829689502716,0.18434271848201753
5.836065292358398,-0.5657126903533936,-0.19595053791999817,0.4901055097579956,0.25473416823148726
5.885955572128296,-0.7212597131729126,-0.2598406970500946,0.6055706739425659,0.32451880449056625
5.937449216842651,-0.8651557564735413,-0.3279109299182892,0.7160671949386597,0.3929751603603363
5.987722158432007,-0.9983627796173096,-0.38318395614624023,0.8248193264007568,0.4548794841766357
6.0379414558410645,-1.1291536092758179,-0.44875669479370117,0.931963324546814,0.519733761548996
6.094209909439087,-1.2736022472381592,-0.5152078866958618,1.0608210563659668,0.5913208928108216
6.14435887336731,-1.4269862174987793,-0.5843945145606995,1.1688941717147827,0.6611846461296081
6.194511651992798,-1.5608348846435547,-0.6216081976890564,1.2736507654190063,0.7160095796585083
6.244816780090332,-1.6915009021759033,-0.6790578961372375,1.3767832517623901,0.7771784374713898
6.298372745513916,-1.8278666734695435,-0.7465910911560059,1.4770066738128662,0.842238628745079
6.348446846008301,-1.9698567390441895,-0.8042446970939636,1.591051697731018,0.9074073152542115
6.3988423347473145,-2.092545986175537,-0.8657012581825256,1.6927586793899536,0.9684614250659942
6.4490625858306885,-2.2114667892456055,-0.9168217778205872,1.7857615947723389,1.0235502294301986
6.499334096908569,-2.3326923847198486,-0.9715344309806824,1.8824374675750732,1.0809960740804672
6.55733323097229,-2.4531707763671875,-1.024239420890808,1.9884330034255981,1.1394498685598373
6.607436418533325,-2.592942953109741,-1.0859172344207764,2.079721212387085,1.20121182346344
6.657854318618774,-2.708615779876709,-1.1449424028396606,2.17737078666687,1.2595043330192566
6.708182334899902,-2.8204779624938965,-1.1970072984695435,2.27254319190979,1.3142466325759887
6.758614540100098,-2.927563428878784,-1.249814748764038,2.3577895164489746,1.3665464141368866
6.818015813827515,-3.0397462844848633,-1.3044350147247314,2.4449939727783203,1.4206739745140076
6.8739705085754395,-3.150968313217163,-1.3253955841064453,2.5449609756469727,1.4652493741512298
6.931962251663208,-3.2569944858551025,-1.392919659614563,2.623823881149292,1.5213349983692168
6.982253789901733,-3.335106611251831,-1.432091236114502,2.6894097328186035,1.560385752916336
7.033063888549805,-3.4269795417785645,-1.4645373821258545,2.757413387298584,1.599692458629608
7.086103439331055,-3.51196551322937,-1.4643969535827637,2.8185575008392334,1.6250309348106384
7.136594295501709,-3.585597515106201,-1.5291063785552979,2.860326051712036,1.66772670006752
7.187348365783691,-3.6646459102630615,-1.535491943359375,2.9065515995025635,1.6915042209625244
7.237950801849365,-3.7273547649383545,-1.5692602396011353,2.9815735816955566,1.728082818508148
7.2891621589660645,-3.7977771759033203,-1.600170373916626,3.0298538208007812,1.7595925316810608
7.3442158699035645,-3.8507630825042725,-1.6325620412826538,3.0639495849609375,1.7860948348045347
7.395374059677124,-3.916543960571289,-1.6208020448684692,3.1248695850372314,1.8042606339454652
7.446596145629883,-3.9612159729003906,-1.6742862462997437,3.1313858032226562,1.831491242170334
7.497480630874634,-4.00903844833374,-1.7006767988204956,3.2030324935913086,1.8624560244083406
7.548875570297241,-4.033787250518799,-1.7018496990203857,3.211536407470703,1.8684320640563965
7.599710464477539,-4.082776069641113,-1.704893946647644,3.248236894607544,1.8844309682846068
7.6507134437561035,-4.104648590087891,-1.707923412322998,3.252361297607422,1.8897498922348022
7.7017457485198975,-4.120929718017578,-1.7109527587890625,3.2580268383026123,1.8944945294857025
7.752726316452026,-4.1544718742370605,-1.750187635421753,3.297043561935425,1.9213360888957975
7.818084716796875,-4.154491424560547,-1.760483741760254,3.2527101039886475,1.9162502887248993
7.892317533493042,-4.155697822570801,-1.7714476585388184,3.296341896057129,1.9289163827896116
7.943359851837158,-4.15716028213501,-1.7714474201202393,3.2745320796966553,1.924849370718002
7.994657039642334,-4.158626556396484,-1.7714474201202393,3.27470326423645,1.9251132991313935
8.048346996307373,-4.160096168518066,-1.7714474201202393,3.27470326423645,1.9253440282344818
8.099537134170532,-4.161623477935791,-1.7714474201202393,3.27470326423645,1.9255838158130647
8.150741815567017,-4.163093566894531,-1.7714474201202393,3.2734804153442383,1.925573718547821
8.20211124420166,-4.148203372955322,-1.7727527618408203,3.2397563457489014,1.9170544073581697
8.253482341766357,-4.106480598449707,-1.7743030786514282,3.2257559299468994,1.9082946619987489
8.307387828826904,-4.1063232421875,-1.8040319681167603,3.2263364791870117,1.918908352136612
8.358718633651733,-4.049377918243408,-1.821385383605957,3.2252800464630127,1.9159029281139375
8.418256759643555,-4.0113301277160645,-1.8220100402832031,3.1920721530914307,1.9036085984706879
8.476147890090942,-3.9634876251220703,-1.8236422538757324,3.1473026275634766,1.8878555326461792
8.534764766693115,-3.8905487060546875,-1.8180510997772217,3.1049246788024902,1.8660763978958133
